iter	Passed	Remaining
399	36748	55122
400	36871	55077
401	37040	55099
402	37189	55092
403	37322	55059
404	37458	55031
405	37593	55001
406	37708	54941
407	37817	54872
408	37893	54755
409	37978	54652
410	38070	54558
411	38161	54463
412	38247	54360
413	38335	54262
414	38421	54160
415	38519	54075
416	38609	53978
417	38686	53865
418	38767	53756
419	38861	53666
420	39014	53657
421	39120	53582
422	39195	53465
423	39278	53359
424	39367	53262
425	39457	53166
426	39541	53062
427	39631	52965
428	39713	52858
429	39793	52749
430	39875	52643
431	39950	52526
432	40031	52419
433	40106	52304
434	40190	52201
435	40273	52097
436	40352	51987
437	40426	51871
438	40506	51763
439	40587	51656
440	40668	51550
441	40741	51433
442	40821	51326
443	40912	51232
444	40991	51124
445	41076	51023
446	41172	50936
447	41264	50843
448	41347	50740
449	41430	50637
450	41504	50523
451	41583	50415
452	41678	50326
453	41763	50226
454	41849	50127
455	41934	50027
456	42015	49922
457	42100	49822
458	42185	49721
459	42268	49619
460	42344	49508
461	42416	49394
462	42508	49302
463	42587	49196
464	42675	49099
465	42756	48995
466	42830	48883
467	42917	48786
468	43006	48692
469	43094	48596
470	43179	48496
471	43256	48389
472	43328	48275
473	43413	48176
474	43508	48088
475	43611	48009
476	43713	47928
477	43809	47842
478	43901	47751
479	43994	47660
480	44082	47564
481	44158	47456
482	44268	47384
483	44359	47292
484	44444	47194
485	44526	47091
486	44612	46994
487	44699	46897
488	44782	46797
489	44860	46691
490	44939	46586
491	45026	46490
492	45106	46387
493	45185	46282
494	45266	46180
495	45358	46089
496	45453	46001
497	45575	45941
498	45678	45861
499	45776	45776
500	45865	45681
501	45961	45595
502	46048	45499
503	46143	45410
504	46232	45316
505	46336	45237
506	46525	45241
507	46605	45137
508	46692	45041
509	46781	44947
510	46876	44858
511	46961	44760
512	47051	44666
513	47150	44582
514	47249	44497
515	47346	44410
516	47437	44317
517	47523	44220
518	47607	44122
519	47703	44033
520	47794	43941
521	47884	43848
522	47975	43756
523	48065	43662
524	48154	43568
525	48237	43469
526	48324	43372
527	48415	43280
528	48522	43202
529	48624	43120
530	48714	43026
531	48813	42941
532	48890	42836
533	48985	42747
534	49135	42706
535	49243	42628
536	49339	42540
537	49440	42456
538	49550	42379
539	49647	42292
540	49744	42204
541	49830	42107
542	49920	42014
543	50008	41918
544	50088	41816
545	50174	41720
546	50254	41618
547	50327	41511
548	50408	41410
549	50490	41310
550	50571	41209
551	50653	41110
552	50733	41009
553	50814	40908
554	50898	40810
555	50969	40702
556	51051	40602
557	51151	40517
558	51235	40420
559	51317	40321
560	51390	40214
561	51473	40116
562	51559	40020
563	51658	39934
564	51746	39840
565	51821	39735
566	51904	39637
567	51984	39537
568	52066	39438
569	52151	39342
570	52236	39245
571	52325	39152
572	52397	39046
573	52489	38955
574	52555	38845
575	52640	38749
576	52721	38650
577	52805	38553
578	52886	38454
579	52968	38356
580	53052	38260
581	53134	38162
582	53211	38060
583	53297	37965
584	53377	37866
585	53456	37766
586	53534	37665
587	53618	37569
588	53697	37470
589	53777	37371
590	53868	37279
591	53950	37181
592	54029	37082
593	54109	36983
594	54182	36880
595	54268	36786
596	54350	36688
597	54425	36587
598	54502	36486
599	54582	36388
600	54652	36283
601	54736	36187
602	54820	36092
603	54901	35995
604	55001	35910
605	55095	35820
606	55187	35731
607	55280	35641
608	55369	35549
609	55450	35451
610	55525	35351
611	55608	35255
612	55686	35155
613	55765	35057
614	55844	34959
615	55934	34868
616	56017	34772
617	56095	34673
618	56174	34576
619	56254	34478
620	56337	34382
621	56418	34286
622	56505	34193
623	56591	34099
624	56671	34002
625	56749	33904
626	56845	33816
627	56995	33761
628	57126	33694
629	57256	33626
630	57383	33557
631	57504	33483
632	57644	33421
633	57785	33358
634	57900	33281
635	57981	33184
636	58047	33079
637	58123	32978
638	58199	32879
639	58281	32783
640	58359	32684
641	58440	32588
642	58525	32494
643	58608	32398
644	58695	32305
645	58773	32207
646	58864	32116
647	58939	32016
648	59017	31918
649	59091	31818
650	59166	31718
651	59252	31625
652	59340	31533
653	59416	31434
654	59497	31338
655	59588	31247
656	59676	31155
657	59772	31066
658	59856	30972
659	59938	30877
660	60038	30791
661	60115	30693
662	60204	30601
663	60306	30516
664	60398	30426
665	60476	30329
666	60573	30241
667	60648	30142
668	60729	30046
669	60812	29952
670	60909	29864
671	61000	29773
672	61093	29684
673	61186	29594
674	61279	29504
675	61363	29410
676	61455	29320
677	61541	29227
678	61630	29136
679	61726	29047
680	61855	28974
681	61982	28900
682	62094	28819
683	62235	28752
684	62369	28680
685	62550	28631
686	62702	28567
687	62920	28533
688	63170	28513
689	63324	28450
690	63454	28375
691	63551	28285
692	63641	28193
693	63716	28093
694	63789	27993
695	63865	27895
696	63951	27801
697	64043	27709
698	64132	27616
699	64222	27523
700	64304	27428
701	64382	27330
702	64489	27245
703	64664	27188
704	64805	27117
705	64936	27041
706	65061	26963
707	65162	26874
708	65256	26783
709	65361	26696
710	65491	26620
711	65615	26541
712	65732	26458
713	65861	26381
714	65979	26299
715	66087	26213
716	66203	26130
717	66308	26043
718	66396	25949
719	66489	25856
720	66574	25761
721	66660	25666
722	66743	25571
723	66832	25477
724	66929	25387
725	67009	25290
726	67110	25201
727	67231	25119
728	67368	25043
729	67478	24957
730	67576	24867
731	67661	24772
732	67750	24678
733	67855	24590
734	67945	24497
735	68029	24401
736	68112	24306
737	68201	24212
738	68284	24116
739	68358	24017
740	68443	23922
741	68535	23830
742	68637	23741
743	68723	23646
744	68807	23551
745	68886	23454
746	68965	23357
747	69048	23262
748	69118	23162
749	69198	23066
750	69275	22968
751	69355	22872
752	69456	22783
753	69551	22691
754	69639	22598
755	69748	22511
756	69831	22416
757	69910	22319
758	70008	22229
759	70091	22134
760	70174	22039
761	70264	21946
762	70431	21877
763	70565	21797
764	70714	21722
765	70797	21627
766	70872	21529
767	70959	21435
768	71036	21338
769	71112	21241
770	71192	21145
771	71264	21047
772	71349	20952
773	71426	20855
774	71503	20759
775	71575	20661
776	71657	20565
777	71733	20469
778	71806	20371
779	71894	20277
780	71975	20182
781	72054	20086
782	72113	19985
783	72194	19890
784	72285	19797
785	72369	19703
786	72442	19606
787	72521	19510
788	72603	19416
789	72691	19323
790	72769	19227
791	72847	19131
792	72922	19035
793	73003	18940
794	73080	18844
795	73164	18750
796	73237	18654
797	73318	18559
798	73401	18465
799	73475	18368
800	73554	18273
801	73617	18174
802	73695	18079
803	73781	17986
804	73895	17900
805	74000	17811
806	74077	17716
807	74161	17622
808	74248	17529
809	74335	17436
810	74426	17344
811	74507	17250
812	74588	17156
813	74676	17063
814	74766	16971
815	74872	16883
816	74966	16791
817	75050	16698
818	75141	16606
819	75236	16515
820	75340	16426
821	75484	16345
822	75617	16262
823	75736	16176
824	75855	16090
825	75975	16004
826	76102	15919
827	76192	15827
828	76273	15733
829	76358	15639
830	76445	15546
831	76535	15454
832	76618	15360
833	76704	15267
834	76789	15174
835	76896	15084
836	77036	15002
837	77182	14920
838	77313	14836
839	77437	14749
840	77565	14664
841	77711	14582
842	77854	14499
843	77963	14410
844	78057	14318
845	78150	14226
846	78233	14131
847	78320	14038
848	78410	13945
849	78494	13852
850	78582	13758
851	78674	13666
852	78760	13573
853	78836	13477
854	78916	13383
855	79004	13290
856	79119	13201
857	79241	13114
858	79329	13021
859	79417	12928
860	79497	12834
861	79584	12740
862	79661	12646
863	79759	12554
864	79849	12462
865	79922	12366
866	80000	12272
867	80101	12181
868	80208	12091
869	80309	12000
870	80422	11911
871	80525	11820
872	80638	11730
873	80751	11641
874	80859	11551
875	80943	11457
876	81025	11363
877	81106	11269
878	81194	11176
879	81277	11083
880	81349	10988
881	81435	10895
882	81517	10801
883	81592	10706
884	81677	10613
885	81749	10518
886	81821	10423
887	81908	10330
888	81990	10237
889	82067	10143
890	82148	10049
891	82220	9954
892	82301	9861
893	82391	9769
894	82473	9675
895	82558	9582
896	82642	9489
897	82734	9397
898	82807	9303
899	82898	9210
900	82979	9117
901	83067	9025
902	83157	8932
903	83269	8842
904	83358	8750
905	83446	8657
906	83522	8563
907	83609	8471
908	83679	8377
909	83753	8283
910	83829	8189
911	83908	8096
912	83989	8003
913	84070	7910
914	84158	7818
915	84247	7725
916	84329	7632
917	84409	7539
918	84487	7446
919	84571	7354
920	84651	7261
921	84736	7168
922	84805	7074
923	84883	6981
924	84955	6888
925	85037	6795
926	85116	6702
927	85197	6610
928	85274	6517
929	85349	6424
930	85428	6331
931	85516	6239
932	85596	6146
933	85674	6054
934	85765	5962
935	85855	5870
936	85933	5777
937	86013	5685
938	86089	5592
939	86161	5499
940	86238	5407
941	86323	5315
942	86399	5222
943	86483	5130
944	86568	5038
945	86646	4946
946	86728	4853
947	86821	4762
948	86897	4669
949	86981	4577
950	87056	4485
951	87140	4393
952	87224	4301
953	87303	4209
954	87379	4117
955	87465	4025
956	87554	3934
957	87638	3842
958	87719	3750
959	87808	3658
960	87888	3566
961	87968	3474
962	88046	3382
963	88132	3291
964	88219	3199
965	88298	3107
966	88373	3015
967	88453	2924
968	88533	2832
969	88604	2740
970	88688	2648
971	88771	2557
972	88855	2465
973	88933	2374
974	89003	2282
975	89089	2190
976	89171	2099
977	89255	2007
978	89334	1916
979	89413	1824
980	89487	1733
981	89573	1641
982	89652	1550
983	89742	1459
984	89823	1367
985	89905	1276
986	89988	1185
987	90070	1093
988	90152	1002
989	90230	911
990	90309	820
991	90384	728
992	90467	637
993	90549	546
994	90627	455
995	90710	364
996	90784	273
997	90862	182
998	90942	91
999	91022	0
